PUL0049	2.06e-162	3300021310_13
PUL0049	8.02e-186	3300021310_13
PUL0093	1.8e-207	3300021310_13
PUL0106	1.82e-309	3300021310_13
PUL0106	7.86e-52	3300021310_13
PUL0108	4.26e-06	3300021310_13
PUL0145	2.11e-83	3300021310_13
PUL0178	7.32e-297	3300021310_13
PUL0249	9.58e-115	3300021310_13
PUL0267	6.84e-221	3300021310_13
PUL0305	9.22e-224	3300021310_13
PUL0494	7.04e-233	3300021310_13
PUL00500	1.53e-130	3300021310_13
PUL0527	5.91e-86	3300021310_13
PUL0550	3.38e-148	3300021310_13
PUL0600	1e-59	3300021310_13
PUL00941	5.49e-209	3300021310_13
PUL01093	2.14e-268	3300021310_13
PUL01217	2.12e-86	3300021310_13
PUL01807	1.67e-199	3300021310_13
PUL02670	4.37e-297	3300021310_13
PUL03345	1.4e-308	3300021310_13
PUL03398	1.12e-290	3300021310_13
PUL03851	1.98e-199	3300021310_13
PUL04064	6.44e-09	3300021310_13
PUL04952	1.61e-233	3300021310_13
PUL05592	6.75e-27	3300021310_13
PUL0049	2.06e-162	3300021311_10
PUL0049	8.02e-186	3300021311_10
PUL0093	1.64e-207	3300021311_10
PUL0106	1.82e-309	3300021311_10
PUL0106	7.86e-52	3300021311_10
PUL0117	1.6e-89	3300021311_10
PUL0145	2.11e-83	3300021311_10
PUL0178	7.02e-297	3300021311_10
PUL0249	9.61e-115	3300021311_10
PUL0267	6.84e-221	3300021311_10
PUL0305	9.22e-224	3300021311_10
PUL0494	7.04e-233	3300021311_10
PUL00500	2.28e-130	3300021311_10
PUL0527	5.91e-86	3300021311_10
PUL0550	3.38e-148	3300021311_10
PUL00941	5.53e-209	3300021311_10
PUL01093	2.14e-268	3300021311_10
PUL01807	1.67e-199	3300021311_10
PUL02670	5.01e-297	3300021311_10
PUL03345	1.4e-308	3300021311_10
PUL03398	1.12e-290	3300021311_10
PUL03851	1.98e-199	3300021311_10
PUL05592	6.75e-27	3300021311_10
PUL0017	7.57e-103	3300021318_9
PUL0029	4.79e-119	3300021318_9
PUL0049	1.13e-162	3300021318_9
PUL0049	2.32e-146	3300021318_9
PUL0049	6.99e-186	3300021318_9
PUL0093	1.64e-207	3300021318_9
PUL0106	1.82e-309	3300021318_9
