PUL0017	1.48e-157	3300010263_27
PUL0017	2.16e-186	3300010263_27
PUL0017	3.57e-192	3300010263_27
PUL0037	1.06e-24	3300010263_27
PUL0049	1.19e-24	3300010263_27
PUL0049	5.68e-48	3300010263_27
PUL0058	2.88e-37	3300010263_27
PUL0058	8.25e-190	3300010263_27
PUL0103	4.54e-106	3300010263_27
PUL0106	1.38e-88	3300010263_27
PUL0106	6.35e-160	3300010263_27
PUL0121	1.09e-67	3300010263_27
PUL0121	8.91e-123	3300010263_27
PUL00137	2.68e-16	3300010263_27
PUL0225	1.05e-37	3300010263_27
PUL0226	3.02e-14	3300010263_27
PUL0227	5.13e-85	3300010263_27
PUL0236	3.15e-39	3300010263_27
PUL0267	6.08e-244	3300010263_27
PUL0282	1.35e-17	3300010263_27
PUL0309	0.000127	3300010263_27
PUL0335	1.17e-95	3300010263_27
PUL0335	1.92e-102	3300010263_27
PUL0335	2.49e-88	3300010263_27
PUL0335	3.65e-82	3300010263_27
PUL0339	4.32e-35	3300010263_27
PUL0340	2.11e-141	3300010263_27
PUL0375	2.23e-77	3300010263_27
PUL0468	9.75e-24	3300010263_27
PUL0489	5.16e-39	3300010263_27
PUL00495	2.51e-243	3300010263_27
PUL00500	5.43e-91	3300010263_27
PUL00504	5.06e-21	3300010263_27
PUL0527	2.06e-80	3300010263_27
PUL0584	1.46e-149	3300010263_27
PUL0591	1.82e-16	3300010263_27
PUL0599	9.98e-33	3300010263_27
PUL00615	1.57e-107	3300010263_27
PUL00706	2.77e-182	3300010263_27
PUL01010	1.43e-33	3300010263_27
PUL01053	2.04e-55	3300010263_27
PUL01060	1.34e-61	3300010263_27
PUL01060	4.83e-185	3300010263_27
PUL01218	2.76e-50	3300010263_27
PUL01246	2.76e-10	3300010263_27
PUL01456	1.99e-32	3300010263_27
PUL01610	2.24e-11	3300010263_27
PUL02500	1.78e-78	3300010263_27
PUL02670	7.3e-219	3300010263_27
PUL02670	8.89e-32	3300010263_27
PUL02670	9.88e-223	3300010263_27
PUL03355	4.03e-163	3300010263_27
PUL03358	5.63e-39	3300010263_27
PUL03412	6.61e-177	3300010263_27
PUL03904	1.33e-25	3300010263_27
PUL03992	3.57e-93	3300010263_27
PUL04132	1.89e-165	3300010263_27
PUL04133	4.99e-52	3300010263_27
PUL04135	2.34e-127	3300010263_27
PUL04136	2.85e-07	3300010263_27
PUL04290	3.9e-78	3300010263_27
PUL04792	2.18e-45	3300010263_27
PUL04930	5.25e-94	3300010263_27
PUL05160	1.28e-141	3300010263_27
PUL05304	7.83e-41	3300010263_27
PUL05304	9.85e-24	3300010263_27
PUL06012	3.85e-33	3300010263_27
PUL0017	1.33e-198	3300010263_33
PUL0017	9.12e-194	3300010263_33
PUL0020	2.71e-40	3300010263_33
PUL0029	3.12e-167	3300010263_33
PUL0038	9.18e-184	3300010263_33
PUL0081	1.14e-49	3300010263_33
PUL0106	4.7e-59	3300010263_33
PUL00121	4.36e-09	3300010263_33
PUL0121	7.29e-28	3300010263_33
PUL0123	5.67e-52	3300010263_33
PUL0184	2.08e-76	3300010263_33
PUL0267	1.76e-53	3300010263_33
PUL0267	7.03e-205	3300010263_33
PUL0282	6.25e-19	3300010263_33
PUL0335	1.16e-65	3300010263_33
PUL0335	3.27e-172	3300010263_33
PUL0387	1.59e-43	3300010263_33
PUL0390	3.72e-108	3300010263_33
PUL0396	3.5e-60	3300010263_33
PUL0434	2.69e-11	3300010263_33
PUL0436	2.15e-08	3300010263_33
PUL0462	8.69e-109	3300010263_33
PUL00500	1.07e-97	3300010263_33
PUL0514	0.000177	3300010263_33
PUL0584	2.66e-155	3300010263_33
PUL0591	4.47e-51	3300010263_33
PUL0593	5.7e-79	3300010263_33
PUL00610	1.19e-93	3300010263_33
PUL00610	2.17e-93	3300010263_33
PUL00706	1.08e-142	3300010263_33
PUL00947	2.53e-123	3300010263_33
PUL01060	1.05e-06	3300010263_33
PUL01060	1.11e-188	3300010263_33
PUL01247	2.57e-112	3300010263_33
PUL01622	2.39e-55	3300010263_33
PUL02670	1.56e-288	3300010263_33
PUL03004	1.95e-93	3300010263_33
PUL03351	1.64e-66	3300010263_33
PUL03357	1.26e-144	3300010263_33
PUL03390	8.03e-144	3300010263_33
PUL03412	3.86e-138	3300010263_33
PUL04061	3.75e-61	3300010263_33
PUL04061	5.33e-25	3300010263_33
PUL04061	9.71e-194	3300010263_33
PUL04132	1.78e-130	3300010263_33
PUL04133	9.91e-33	3300010263_33
PUL05172	7.15e-33	3300010263_33
PUL05302	1.6e-26	3300010263_33
PUL06020	3.08e-25	3300010263_33
PUL00014	3.54e-199	3300010263_6
PUL0017	2.53e-218	3300010263_6
PUL0024	3.63e-213	3300010263_6
PUL0029	7.71e-127	3300010263_6
PUL0029	9.08e-108	3300010263_6
PUL0040	1.8e-275	3300010263_6
PUL0049	1.02e-41	3300010263_6
PUL0049	7.73e-155	3300010263_6
PUL0058	1.6e-226	3300010263_6
PUL0058	3.67e-135	3300010263_6
PUL0083	5.92e-279	3300010263_6
PUL0085	1.98e-110	3300010263_6
PUL0085	6.61e-256	3300010263_6
PUL0086	8.4e-147	3300010263_6
PUL0087	1.87e-309	3300010263_6
PUL0102	7.55e-53	3300010263_6
PUL0106	1.08e-205	3300010263_6
PUL0106	4.37e-104	3300010263_6
PUL0114	1.79e-150	3300010263_6
PUL0121	2.27e-63	3300010263_6
PUL0124	6.26e-226	3300010263_6
PUL00130	1.83e-240	3300010263_6
PUL0209	1.13e-19	3300010263_6
PUL0212	1.52e-190	3300010263_6
PUL0281	3.18e-136	3300010263_6
PUL0320	1.2e-83	3300010263_6
PUL0320	1.39e-248	3300010263_6
PUL0322	1.91e-269	3300010263_6
PUL0337	4.03e-186	3300010263_6
PUL0390	2.64e-58	3300010263_6
PUL0390	8.46e-116	3300010263_6
PUL0414	1.29e-52	3300010263_6
PUL0423	1.59e-28	3300010263_6
PUL0454	1.56e-50	3300010263_6
PUL0454	7.23e-47	3300010263_6
PUL00472	3.97e-32	3300010263_6
PUL00500	1.46e-92	3300010263_6
