PUL0017	2.72e-199	3300019371_16
PUL0017	3.17e-187	3300019371_16
PUL0038	2.13e-140	3300019371_16
PUL0106	3.49e-168	3300019371_16
PUL0121	2.85e-197	3300019371_16
PUL0214	5.92e-107	3300019371_16
PUL0267	1.97e-245	3300019371_16
PUL0333	4.09e-120	3300019371_16
PUL0340	1.88e-208	3300019371_16
PUL0459	4.38e-31	3300019371_16
PUL01249	1.9e-147	3300019371_16
PUL02300	2.08e-101	3300019371_16
PUL02863	8.68e-135	3300019371_16
PUL03355	4.9e-163	3300019371_16
PUL05072	1.63e-124	3300019371_16
PUL0017	2.72e-199	3300019373_22
PUL0017	8.36e-187	3300019373_22
PUL0038	2.14e-140	3300019373_22
PUL0103	4.24e-94	3300019373_22
PUL0106	2.04e-168	3300019373_22
PUL0121	2.85e-197	3300019373_22
PUL0214	5.92e-107	3300019373_22
PUL0267	1.97e-245	3300019373_22
PUL0300	1.69e-117	3300019373_22
PUL0333	4.09e-120	3300019373_22
PUL0340	1.88e-208	3300019373_22
PUL01013	5.08e-46	3300019373_22
PUL01249	1.13e-147	3300019373_22
PUL02300	2.08e-101	3300019373_22
PUL02863	3.23e-135	3300019373_22
PUL03355	5.02e-163	3300019373_22
PUL05072	1.63e-124	3300019373_22
PUL0017	2.72e-199	3300019374_18
PUL0017	8.35e-187	3300019374_18
PUL0038	2.13e-140	3300019374_18
PUL0106	3.49e-168	3300019374_18
PUL0121	2.62e-197	3300019374_18
PUL0214	5.92e-107	3300019374_18
PUL0267	1.97e-245	3300019374_18
PUL0333	4.09e-120	3300019374_18
PUL0340	1.88e-208	3300019374_18
PUL01249	1.9e-147	3300019374_18
PUL02300	2.07e-101	3300019374_18
PUL02863	8.68e-135	3300019374_18
PUL03355	4.98e-163	3300019374_18
PUL05072	1.63e-124	3300019374_18
PUL05841	4.56e-31	3300019374_18
PUL0017	3.72e-199	3300021310_21
PUL0038	2.13e-140	3300021310_21
PUL0121	2.85e-197	3300021310_21
PUL0214	6.24e-107	3300021310_21
PUL0267	4.28e-245	3300021310_21
