PUL0013	7.6e-23	3300012790_1
PUL0029	8.48e-65	3300012790_1
PUL0058	1.72e-161	3300012790_1
PUL0074	6.12e-176	3300012790_1
PUL00103	1.83e-09	3300012790_1
PUL0106	7.74e-187	3300012790_1
PUL0121	4.24e-46	3300012790_1
PUL0136	4.06e-72	3300012790_1
PUL0160	9.5e-77	3300012790_1
PUL0164	5.2e-169	3300012790_1
PUL0165	4.47e-250	3300012790_1
PUL0179	1.16e-103	3300012790_1
PUL0206	2.26e-222	3300012790_1
PUL0206	2.29e-138	3300012790_1
PUL0211	1.76e-217	3300012790_1
PUL0216	2.4e-114	3300012790_1
PUL0236	7.82e-124	3300012790_1
PUL0267	2.75e-235	3300012790_1
PUL0270	1.43e-107	3300012790_1
PUL0281	1.54e-148	3300012790_1
PUL0299	2.94e-39	3300012790_1
PUL0299	3.46e-71	3300012790_1
PUL0311	1.38e-233	3300012790_1
PUL0316	5.63e-52	3300012790_1
PUL0335	7.53e-85	3300012790_1
PUL0337	2.14e-46	3300012790_1
PUL0365	1.87e-286	3300012790_1
PUL0375	7.09e-10	3300012790_1
PUL0396	4.96e-118	3300012790_1
PUL0401	3.23e-234	3300012790_1
PUL0403	7.74e-224	3300012790_1
PUL0435	1.32e-103	3300012790_1
PUL00475	1.48e-96	3300012790_1
PUL0527	4.43e-10	3300012790_1
PUL0527	5.71e-68	3300012790_1
PUL0545	6.35e-243	3300012790_1
PUL00942	8.68e-81	3300012790_1
PUL01060	3.84e-150	3300012790_1
PUL01060	8.31e-122	3300012790_1
PUL01212	1.07e-172	3300012790_1
PUL01237	2.04e-15	3300012790_1
PUL01237	7.95e-20	3300012790_1
PUL01455	4.22e-177	3300012790_1
PUL01455	6.47e-109	3300012790_1
PUL01472	2.79e-08	3300012790_1
PUL01622	6.68e-42	3300012790_1
PUL02670	8.38e-179	3300012790_1
PUL02705	7.25e-135	3300012790_1
PUL02924	1.1e-239	3300012790_1
PUL03293	4.03e-177	3300012790_1
PUL03356	8.64e-72	3300012790_1
PUL03403	1e-30	3300012790_1
PUL04299	2.66e-20	3300012790_1
PUL04581	2.6e-37	3300012790_1
PUL04604	6.97e-152	3300012790_1
PUL0165	1.07e-249	3300012791_1
PUL0206	3.06e-222	3300012791_1
PUL0267	2.75e-235	3300012791_1
PUL0365	3.83e-286	3300012791_1
PUL0403	3.35e-223	3300012791_1
PUL0545	5.06e-242	3300012791_1
PUL01212	1.91e-171	3300012791_1
PUL02924	3.92e-239	3300012791_1
PUL03293	4.03e-177	3300012791_1
PUL0013	2.01e-106	3300012808_9
PUL0013	4.35e-209	3300012808_9
PUL0013	7.71e-56	3300012808_9
PUL0017	2.28e-189	3300012808_9
PUL0017	3.54e-151	3300012808_9
PUL0038	3.84e-203	3300012808_9
PUL0049	1.1e-33	3300012808_9
PUL0058	6.95e-203	3300012808_9
PUL0106	3.33e-39	3300012808_9
PUL00120	8.21e-151	3300012808_9
PUL0121	5.78e-110	3300012808_9
PUL0121	8.38e-65	3300012808_9
PUL00130	4.97e-195	3300012808_9
PUL0131	0.000542	3300012808_9
PUL0179	8.71e-25	3300012808_9
PUL0180	1.53e-149	3300012808_9
PUL0209	6.93e-118	3300012808_9
PUL0216	2.64e-104	3300012808_9
PUL0216	4.05e-97	3300012808_9
PUL0247	4.49e-200	3300012808_9
PUL0267	1.64e-215	3300012808_9
PUL0269	1.42e-40	3300012808_9
PUL0299	5.25e-36	3300012808_9
PUL0299	8.37e-149	3300012808_9
PUL0303	4.34e-116	3300012808_9
PUL0316	3.76e-32	3300012808_9
PUL0321	4.47e-17	3300012808_9
PUL0328	3.08e-123	3300012808_9
PUL0335	7.04e-195	3300012808_9
PUL0340	3.13e-156	3300012808_9
PUL0365	3.48e-188	3300012808_9
PUL0387	1.58e-90	3300012808_9
PUL0390	3.15e-136	3300012808_9
PUL0390	9.57e-68	3300012808_9
PUL0396	2.61e-25	3300012808_9
PUL0404	5.22e-90	3300012808_9
PUL0429	1.8e-148	3300012808_9
PUL0436	3.96e-05	3300012808_9
PUL0459	1.48e-68	3300012808_9
PUL0560	0.00036	3300012808_9
PUL0599	6.1e-154	3300012808_9
PUL00603	6.48e-93	3300012808_9
