PUL0007	1.25e-79	3300013138_52
PUL0009	2e-55	3300013138_52
PUL0009	3.6e-95	3300013138_52
PUL0013	8.96e-60	3300013138_52
PUL0017	1.32e-180	3300013138_52
PUL0029	1.21e-53	3300013138_52
PUL0037	8.59e-09	3300013138_52
PUL0038	7.2e-205	3300013138_52
PUL0038	7.57e-152	3300013138_52
PUL0039	3.61e-11	3300013138_52
PUL0049	3.23e-28	3300013138_52
PUL0053	2e-12	3300013138_52
PUL0058	2.59e-184	3300013138_52
PUL0060	4.56e-69	3300013138_52
PUL0093	6.73e-20	3300013138_52
PUL00101	1.02e-81	3300013138_52
PUL00101	8.8e-17	3300013138_52
PUL00103	4.15e-28	3300013138_52
PUL0103	3.12e-66	3300013138_52
PUL0103	3.77e-57	3300013138_52
PUL0106	5.83e-198	3300013138_52
PUL0106	6.68e-73	3300013138_52
PUL0108	9.75e-37	3300013138_52
PUL00121	2.86e-16	3300013138_52
PUL0121	1.4e-55	3300013138_52
PUL0121	3.1e-33	3300013138_52
PUL0121	7.81e-86	3300013138_52
PUL0121	8.17e-65	3300013138_52
PUL0121	8.5e-109	3300013138_52
PUL0139	5.12e-16	3300013138_52
PUL0139	9.72e-21	3300013138_52
PUL0155	6.1e-65	3300013138_52
PUL0180	4.61e-58	3300013138_52
PUL0180	7.97e-141	3300013138_52
PUL0199	2.27e-43	3300013138_52
PUL0206	2.75e-102	3300013138_52
PUL0209	3.39e-69	3300013138_52
PUL0209	4.6e-27	3300013138_52
PUL00215	7.53e-55	3300013138_52
PUL0216	2.89e-102	3300013138_52
PUL0216	4.15e-97	3300013138_52
PUL0216	7.55e-56	3300013138_52
PUL0227	7.61e-69	3300013138_52
PUL0236	1.14e-88	3300013138_52
PUL0243	2.55e-11	3300013138_52
PUL0248	9.14e-189	3300013138_52
PUL0267	8.16e-216	3300013138_52
PUL0269	0.000116	3300013138_52
PUL0269	1.7e-55	3300013138_52
PUL0269	5.2e-69	3300013138_52
PUL0292	5.68e-35	3300013138_52
PUL0299	2.07e-38	3300013138_52
PUL0303	3.07e-76	3300013138_52
PUL0303	5.01e-105	3300013138_52
PUL0303	6.45e-146	3300013138_52
PUL0316	1.94e-69	3300013138_52
PUL0316	2.09e-80	3300013138_52
PUL0316	5.26e-104	3300013138_52
PUL0318	1.33e-06	3300013138_52
PUL0333	1e-86	3300013138_52
PUL0333	1.17e-55	3300013138_52
PUL0335	2.87e-66	3300013138_52
PUL0335	2.9e-200	3300013138_52
PUL0335	3.04e-74	3300013138_52
PUL0337	1.35e-66	3300013138_52
PUL0337	2.82e-50	3300013138_52
PUL0340	3.41e-157	3300013138_52
PUL0340	4.3e-138	3300013138_52
PUL0347	3.1e-66	3300013138_52
PUL0390	1.21e-65	3300013138_52
PUL0390	3.07e-83	3300013138_52
PUL0390	3.37e-52	3300013138_52
PUL0390	4.5e-60	3300013138_52
PUL0390	8.39e-49	3300013138_52
PUL0390	8.56e-55	3300013138_52
PUL0396	9.09e-142	3300013138_52
PUL0404	4.39e-18	3300013138_52
PUL0406	2.97e-82	3300013138_52
PUL0409	1.6e-120	3300013138_52
PUL0409	4.8e-70	3300013138_52
PUL0454	3.77e-39	3300013138_52
PUL0454	8.1e-47	3300013138_52
PUL0459	2.62e-28	3300013138_52
PUL0475	3.29e-39	3300013138_52
PUL0527	2.14e-49	3300013138_52
PUL0544	1.76e-08	3300013138_52
PUL0584	2.95e-137	3300013138_52
PUL0598	1.26e-137	3300013138_52
PUL00603	1.51e-94	3300013138_52
PUL00706	1.8e-132	3300013138_52
PUL01060	9.8e-10	3300013138_52
PUL01080	3.34e-35	3300013138_52
PUL01081	9.36e-77	3300013138_52
PUL01210	1.63e-24	3300013138_52
PUL01210	7.9e-19	3300013138_52
PUL01212	2.14e-30	3300013138_52
PUL01212	4.75e-37	3300013138_52
PUL01249	4.01e-170	3300013138_52
PUL01270	4.9e-27	3300013138_52
PUL01352	2.97e-68	3300013138_52
PUL01455	1.9e-71	3300013138_52
PUL01842	7.1e-23	3300013138_52
PUL02025	1.05e-155	3300013138_52
PUL02355	8.95e-09	3300013138_52
PUL02507	1.03e-171	3300013138_52
PUL02922	1.28e-24	3300013138_52
PUL03004	4.12e-56	3300013138_52
PUL03341	4.32e-20	3300013138_52
PUL03356	1.22e-46	3300013138_52
PUL03358	2.78e-40	3300013138_52
PUL03362	4.44e-09	3300013138_52
PUL03390	1.92e-164	3300013138_52
PUL03391	9.7e-90	3300013138_52
PUL03680	3.5e-19	3300013138_52
PUL04066	5.68e-12	3300013138_52
PUL04132	8.02e-147	3300013138_52
PUL04134	1.45e-46	3300013138_52
PUL04290	2.8e-28	3300013138_52
PUL04299	4.22e-40	3300013138_52
