PUL0017	4.71e-141	3300003155_19
PUL0017	8.78e-187	3300003155_19
PUL0043	1.44e-175	3300003155_19
PUL0073	5.2e-186	3300003155_19
PUL0106	2.46e-131	3300003155_19
PUL0121	1.09e-83	3300003155_19
PUL0212	1.88e-114	3300003155_19
PUL0248	4.03e-94	3300003155_19
PUL0267	8.31e-211	3300003155_19
PUL00290	7.14e-30	3300003155_19
PUL0333	1.08e-109	3300003155_19
PUL0446	4.55e-90	3300003155_19
PUL0448	3.37e-160	3300003155_19
PUL0454	8.07e-27	3300003155_19
PUL0584	7.24e-118	3300003155_19
PUL00706	3.06e-197	3300003155_19
PUL01060	9.07e-138	3300003155_19
PUL01249	3.13e-169	3300003155_19
PUL01455	1.48e-223	3300003155_19
PUL01455	4.07e-195	3300003155_19
PUL01615	7.35e-15	3300003155_19
PUL02537	5.89e-47	3300003155_19
PUL02670	1.73e-292	3300003155_19
PUL04066	6.84e-151	3300003155_19
PUL04582	1.85e-17	3300003155_19
PUL04917	2.52e-73	3300003155_19
PUL04923	1.65e-100	3300003155_19
PUL05078	1.28e-10	3300003155_19
PUL05161	6.24e-148	3300003155_19
PUL05308	8.61e-73	3300003155_19
PUL0017	1.42e-173	3300018475_158
PUL0121	1.17e-104	3300018475_158
PUL0199	8.41e-147	3300018475_158
PUL0209	1.89e-20	3300018475_158
PUL0267	1.32e-211	3300018475_158
PUL0387	8.67e-24	3300018475_158
PUL0409	2.02e-112	3300018475_158
PUL0409	7.29e-134	3300018475_158
PUL00601	1.49e-170	3300018475_158
PUL01249	4.68e-170	3300018475_158
PUL01455	6.48e-212	3300018475_158
PUL02537	2.57e-43	3300018475_158
PUL02670	1.67e-290	3300018475_158
PUL03355	2.48e-140	3300018475_158
PUL04132	3.47e-155	3300018475_158
PUL0017	1.83e-173	3300018878_161
PUL0199	1.02e-146	3300018878_161
PUL0209	1.91e-20	3300018878_161
PUL0267	6.19e-212	3300018878_161
PUL0333	2.86e-111	3300018878_161
PUL0387	8.5e-24	3300018878_161
PUL0409	2.02e-112	3300018878_161
PUL0409	7.29e-134	3300018878_161
PUL00601	1.35e-170	3300018878_161
PUL00706	1.05e-189	3300018878_161
PUL01249	4.68e-170	3300018878_161
PUL01455	6.46e-212	3300018878_161
PUL02537	2.57e-43	3300018878_161
PUL02670	1.69e-290	3300018878_161
PUL03355	2.48e-140	3300018878_161
PUL04132	3.47e-155	3300018878_161
PUL0017	1.21e-173	3300022661_124
PUL0121	5.1e-47	3300022661_124
PUL0199	4.02e-138	3300022661_124
PUL0209	2.02e-20	3300022661_124
PUL0260	8.16e-29	3300022661_124
PUL0267	6.2e-212	3300022661_124
PUL00292	8.04e-83	3300022661_124
PUL0303	2.89e-38	3300022661_124
PUL0333	8.31e-111	3300022661_124
PUL0335	2.66e-05	3300022661_124
PUL0387	9.23e-24	3300022661_124
PUL0409	1.8e-112	3300022661_124
PUL0409	7.39e-134	3300022661_124
PUL0454	3.33e-40	3300022661_124
PUL00601	1.36e-170	3300022661_124
PUL00615	4.69e-101	3300022661_124
PUL00706	1.89e-190	3300022661_124
PUL01249	3.12e-170	3300022661_124
PUL01455	6.47e-212	3300022661_124
PUL02537	2.75e-43	3300022661_124
PUL02670	1.05e-290	3300022661_124
PUL03355	1.35e-141	3300022661_124
PUL03391	3.87e-53	3300022661_124
PUL04132	2.25e-155	3300022661_124
PUL04135	1.07e-125	3300022661_124
PUL0017	1.44e-173	3300022753_120
PUL0121	1.8e-104	3300022753_120
PUL0199	1.02e-146	3300022753_120
PUL0209	2.02e-20	3300022753_120
PUL0267	7.05e-212	3300022753_120
PUL0409	1.81e-112	3300022753_120
PUL0409	7.39e-134	3300022753_120
PUL00601	1.4e-170	3300022753_120
PUL00615	4.68e-101	3300022753_120
PUL00706	9.4e-190	3300022753_120
PUL01249	8.4e-170	3300022753_120
PUL01455	6.47e-212	3300022753_120
PUL02670	1.05e-290	3300022753_120
PUL03355	2.49e-140	3300022753_120
PUL03391	1.47e-52	3300022753_120
PUL04132	2.25e-155	3300022753_120
