PUL0017	7.19e-180	3300011665_5
PUL0267	3.15e-218	3300011665_5
PUL0316	2.45e-72	3300011665_5
PUL0333	8.49e-109	3300011665_5
PUL0335	1.89e-196	3300011665_5
PUL0335	4.26e-69	3300011665_5
PUL0340	3.68e-157	3300011665_5
PUL0506	3.23e-127	3300011665_5
PUL0527	8.2e-69	3300011665_5
PUL0584	1.39e-126	3300011665_5
PUL01230	6.61e-08	3300011665_5
PUL01249	4.03e-169	3300011665_5
PUL01455	1.36e-184	3300011665_5
PUL02503	5.96e-198	3300011665_5
PUL03365	2.32e-24	3300011665_5
PUL04132	1.05e-155	3300011665_5
PUL0017	8.38e-180	3300011797_1
PUL0172	5.22e-149	3300011797_1
PUL0316	9.82e-74	3300011797_1
PUL0335	1.07e-81	3300011797_1
PUL0335	4.23e-69	3300011797_1
PUL0335	5.17e-197	3300011797_1
PUL0340	7.77e-133	3300011797_1
PUL0446	5.27e-92	3300011797_1
PUL0506	3.07e-127	3300011797_1
PUL01455	2.3e-187	3300011797_1
PUL03004	1.25e-48	3300011797_1
PUL03412	6.74e-163	3300011797_1
PUL04066	1.55e-90	3300011797_1
PUL04605	6.87e-190	3300011797_1
PUL0053	2.79000001616881e-316	3300012588_3
PUL0106	6.65e-189	3300012588_3
PUL0121	2.31e-112	3300012588_3
PUL0180	7.24e-141	3300012588_3
PUL0206	4.93e-115	3300012588_3
PUL0267	2.43e-218	3300012588_3
PUL0316	2.09e-59	3300012588_3
PUL0335	7.91e-198	3300012588_3
PUL0340	1.31e-152	3300012588_3
PUL0409	1.46e-59	3300012588_3
PUL0429	1.19e-128	3300012588_3
PUL00500	7.38e-80	3300012588_3
PUL01455	5.95e-189	3300012588_3
PUL04134	1.19e-40	3300012588_3
PUL0011	3.16e-134	3300012816_3
PUL0017	1.22e-178	3300012816_3
PUL0017	1.92e-151	3300012816_3
PUL0034	4.42e-89	3300012816_3
PUL0044	1.15e-113	3300012816_3
PUL0053	4.13e-259	3300012816_3
PUL0103	2.7e-69	3300012816_3
PUL0106	5.13e-190	3300012816_3
PUL0121	3.34e-110	3300012816_3
PUL0121	5.92e-50	3300012816_3
PUL0122	3.09e-183	3300012816_3
PUL0150	5.52e-69	3300012816_3
PUL0168	4.44e-28	3300012816_3
PUL0169	1.73e-189	3300012816_3
PUL0180	4.46e-148	3300012816_3
PUL0188	1.27e-104	3300012816_3
PUL0206	8.35e-135	3300012816_3
PUL0215	3.72e-78	3300012816_3
PUL0236	5.16e-84	3300012816_3
PUL0249	9.04e-227	3300012816_3
PUL0267	1.3e-221	3300012816_3
PUL0292	2.95e-43	3300012816_3
PUL0309	2.69e-192	3300012816_3
PUL0309	6.98e-52	3300012816_3
PUL0316	2.41e-82	3300012816_3
PUL0316	4.7e-70	3300012816_3
PUL0316	4.88e-76	3300012816_3
PUL0318	8.32e-13	3300012816_3
PUL0332	3.34e-200	3300012816_3
PUL0333	1.02e-109	3300012816_3
